t_days,r_cm,Nn_cells_per_cm3,Nt_cells_per_cm3,Ch_mols_per_liter
0.00000,0.40000,1.00000e+08,1.00000e+03,6.10629e-25
0.00000,0.40500,1.00000e+08,1.00000e+03,3.88574e-25
0.00000,0.41000,1.00000e+08,1.00000e+03,2.22042e-25
0.00000,0.41500,1.00000e+08,1.00000e+03,1.11021e-25
0.00000,0.42000,1.00000e+08,1.00000e+03,5.55106e-26
0.00000,0.42500,1.00000e+08,1.00000e+03,5.55106e-26
0.00000,0.43000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.43500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.44000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.44500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.45000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.45500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.46000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.46500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.47000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.47500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.48000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.48500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.49000,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.49500,1.00000e+08,1.00000e+03,0.00000e+00
0.00000,0.50000,1.00000e+08,1.00000e+03,0.00000e+00
11.57407,0.00000,4.98901e+07,2.70925e+05,5.16651e-09
11.57407,0.00500,4.98907e+07,2.70917e+05,5.16245e-09
11.57407,0.01000,4.98919e+07,2.70904e+05,5.14855e-09
11.57407,0.01500,4.98938e+07,2.70883e+05,5.12653e-09
11.57407,0.02000,4.98969e+07,2.70847e+05,5.09465e-09
11.57407,0.02500,4.99018e+07,2.70789e+05,5.05464e-09
11.57407,0.03000,4.99095e+07,2.70694e+05,5.00475e-09
11.57407,0.03500,4.99215e+07,2.70536e+05,4.94672e-09
11.57407,0.04000,4.99408e+07,2.70278e+05,4.87879e-09
11.57407,0.04500,4.99717e+07,2.69855e+05,4.80270e-09
11.57407,0.05000,5.00214e+07,2.69164e+05,4.71673e-09
11.57407,0.05500,5.01015e+07,2.68043e+05,4.62261e-09
11.57407,0.06000,5.02300e+07,2.66239e+05,4.51872e-09
11.57407,0.06500,5.04345e+07,2.63378e+05,4.40684e-09
11.57407,0.07000,5.07544e+07,2.58931e+05,4.28549e-09
11.57407,0.07500,5.12413e+07,2.52195e+05,4.15669e-09
11.57407,0.08000,5.19511e+07,2.42313e+05,4.01930e-09
11.57407,0.08500,5.29230e+07,2.28299e+05,3.87578e-09
11.57407,0.09000,5.41446e+07,2.09097e+05,3.72563e-09
11.57407,0.09500,5.55247e+07,1.83812e+05,3.57209e-09
11.57407,0.10000,5.69078e+07,1.52568e+05,3.41568e-09
11.57407,0.10500,5.81370e+07,1.17880e+05,3.26069e-09
11.57407,0.11000,5.91182e+07,8.46142e+04,3.10845e-09
11.57407,0.11500,5.98368e+07,5.72648e+04,2.96315e-09
11.57407,0.12000,6.03308e+07,3.74670e+04,2.82496e-09
11.57407,0.12500,6.06559e+07,2.43051e+04,2.69628e-09
11.57407,0.13000,6.08640e+07,1.59618e+04,2.57572e-09
11.57407,0.13500,6.09951e+07,1.07957e+04,2.46456e-09
11.57407,0.14000,6.10769e+07,7.63138e+03,2.36080e-09
11.57407,0.14500,6.11278e+07,5.70278e+03,2.26537e-09
11.57407,0.15000,6.11596e+07,4.53008e+03,2.17619e-09
11.57407,0.15500,6.11797e+07,3.81784e+03,2.09415e-09
11.57407,0.16000,6.11925e+07,3.38550e+03,2.01722e-09
11.57407,0.16500,6.12008e+07,3.12317e+03,1.94638e-09
11.57407,0.17000,6.12065e+07,2.96401e+03,1.87970e-09
11.57407,0.17500,6.12104e+07,2.86746e+03,1.81820e-09
11.57407,0.18000,6.12132e+07,2.80890e+03,1.76009e-09
11.57407,0.18500,6.12154e+07,2.77337e+03,1.70645e-09
11.57407,0.19000,6.12171e+07,2.75183e+03,1.65556e-09
11.57407,0.19500,6.12185e+07,2.73876e+03,1.60854e-09
11.57407,0.20000,6.12198e+07,2.73083e+03,1.56376e-09
11.57407,0.20500,6.12208e+07,2.72602e+03,1.52238e-09
11.57407,0.21000,6.12218e+07,2.72311e+03,1.48283e-09
11.57407,0.21500,6.12227e+07,2.72134e+03,1.44628e-09
11.57407,0.22000,6.12236e+07,2.72027e+03,1.41122e-09
11.57407,0.22500,6.12243e+07,2.71961e+03,1.37882e-09
11.57407,0.23000,6.12251e+07,2.71922e+03,1.34765e-09
11.57407,0.23500,6.12257e+07,2.71898e+03,1.31886e-09
11.57407,0.24000,6.12264e+07,2.71884e+03,1.29106e-09
11.57407,0.24500,6.12270e+07,2.71875e+03,1.26541e-09
11.57407,0.25000,6.12275e+07,2.71869e+03,1.24057e-09
11.57407,0.25500,6.12281e+07,2.71866e+03,1.21768e-09
11.57407,0.26000,6.12286e+07,2.71864e+03,1.19544e-09
11.57407,0.26500,6.12290e+07,2.71863e+03,1.17497e-09
